epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5199723839759827,9.999999747378752e-06,1.4922418594360352,0.5661706924438477,1.18128502368927
1,0.5306150913238525,9.999999747378752e-06,1.3770549297332764,0.5747846364974976,1.1500205993652344
2,0.5333793759346008,9.999999747378752e-06,1.2782520055770874,0.5779169797897339,1.1433601379394531
3,0.5382170081138611,9.999999747378752e-06,1.221738576889038,0.569303035736084,1.1652973890304565
4,0.5459571480751038,9.999999747378752e-06,1.1479228734970093,0.578700065612793,1.1595330238342285
5,0.5429163575172424,1.9999999949504854e-06,1.173113226890564,0.588097095489502,1.1207062005996704
6,0.5376641154289246,1.9999999949504854e-06,1.1454402208328247,0.5567736625671387,1.1459087133407593
7,0.5438839197158813,1.9999999949504854e-06,1.2470883131027222,0.5951448678970337,1.0912655591964722
8,0.5492743849754333,1.9999999949504854e-06,1.1270112991333008,0.5732184648513794,1.1608542203903198
9,0.5456807017326355,1.9999999949504854e-06,1.1329461336135864,0.5818324089050293,1.1426411867141724
10,0.5495507717132568,9.999999974752427e-07,1.119600772857666,0.5943617820739746,1.0751889944076538
11,0.5463718175888062,9.999999974752427e-07,1.0995174646377563,0.5912294387817383,1.0956262350082397
12,0.5451278686523438,9.999999974752427e-07,1.1470428705215454,0.5873140096664429,1.1352134943008423
